n_img,n_cluster,n_fixation,centerPointX,centerPointY,distMeanPoint,stdevX,stdevY
1,1,5,0.5393518384537901,0.585945632929673,0.0013243859713969281,0.01287930829629915,0.018586250718738935
1,2,4,0.43200461998039597,0.41530541478869,0.005415728902237384,0.02350669091609396,0.03260695828668598
1,3,4,0.7082386700179337,0.2658423616515711,0.007265655819643353,0.03504543134392207,0.031053970692329347
1,4,12,0.6047792754333929,0.44668162493307273,0.01191528364938005,0.07424856176926396,0.030622299073240638
1,5,3,0.6668566417876148,0.5413240295624422,0.001354890179323242,0.013937461551001258,0.017912578870984876
1,6,4,0.42318077089223005,0.7068150823384635,0.0011192494215277436,0.021907019149765207,0.008347830985056204
6,1,26,0.5324647856174314,0.5156836067240289,0.014312995235104082,0.04314795366771257,0.10110395131365205
6,2,5,0.49993570481416905,0.2791913466212181,0.005858013830922384,0.019717916139608094,0.03171748032242642
6,3,4,0.5038450756862755,0.787497476229188,0.006751721626978087,0.01798183961607074,0.036166280347488776
6,4,5,0.6505907405734097,0.6572280660709927,0.00014876935550506835,0.019842656652417693,0.020445081110279543
6,5,3,0.6039543146134463,0.8381638207835355,0.004152905025049895,0.011531345198013241,0.02886204152693398
14,1,5,0.4915005226018042,0.779412787655408,0.010599019162897605,0.021280699318868685,0.053565063937368186
14,2,3,0.5656205942272592,0.650736279160863,0.003349831884155919,0.025815312254104272,0.013077753028027161
